state,county,fips,trump16,trump16_pct,clinton16,clinton16_pct,otherpres16,otherpres16_pct,romney12,romney12_pct,obama12,obama12_pct,otherpres12,otherpres12_pct,senaterace16,houserace16,govrace16,total_population,cvap,voterturnout16_pct,voterturnout12_pct,voterturnout_pct_diff,white_pct,nonwhite_pct,black_pct,hispanic_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,rural_pct,RepWon16,RepWon12,Repmargin12,Repmargin16
Florida,Citrus,12017,54456,68.32622334,22789,28.59347553,2455,3.080301129,44662,60.40711436,28460,38.49327112,813,1.099614526,Race,Race,No Race,140453,117055,68.0876511,63.16261586,4.92503524,88.87101023,11.12898977,2.817312553,5.121998106,5.413910703,51.6678177,24.5818886,35.10569372,39054,11.6480122,13.28890807,82.15435529,34.51881956,1,1,21.91384324,39.73274781
Florida,Clay,12019,74963,70.39903083,27822,26.12811435,3698,3.472854822,70022,72.49479754,25759,26.66866827,808,0.836534181,Race,Race,No Race,200346,147295,72.2923385,65.57520622,6.717132286,74.87746199,25.12253801,9.56095954,9.007916305,7.078753756,50.79762012,38.83531491,14.19244707,59179,8.872416891,9.19173323,76.06155536,14.96869515,1,1,45.826129269999996,44.27091648
Florida,Collier,12021,105423,61.72704331,61085,35.76635498,4281,2.506601713,96520,64.72986748,51698,34.67058319,894,0.599549332,Race,Race,No Race,348236,241110,70.83447389,61.84397163,8.99050226,64.22253874,35.77746126,6.775003159,26.63452371,23.81689429,50.88129889,29.99890879,29.58970353,59783,6.408868265,14.32153964,66.11896974,8.485941777,1,1,30.059284289999994,25.960688329999996
Florida,Columbia,12023,20368,70.95133591,7601,26.47786254,738,2.570801547,18429,67.84596694,8462,31.15267091,272,1.001362147,Race,Race,No Race,68198,52180,55.01533154,52.05634343,2.958988118,73.2748761,26.7251239,17.57236283,5.554415085,3.63353764,48.21255755,37.60374205,17.18672102,42848,11.72693006,13.75657993,84.09095753,62.05742548,1,1,36.69329603,44.473473369999994
Florida,Desoto,12027,6778,62.65483454,3781,34.95100758,259,2.394157885,5587,56.63456665,4174,42.31120122,104,1.054232134,Race,Race,No Race,35134,23515,46.00467787,41.95194557,4.052732299,55.04070131,44.95929869,12.90487847,30.68822223,17.50441168,43.34547732,37.51351967,19.40855012,35513,8.291825374,29.47575039,89.96074262,46.24232689,1,1,14.323365429999996,27.70382696
Florida,Dixie,12029,5822,80.83865593,1270,17.63399056,110,1.527353513,5052,72.78490131,1798,25.90404841,91,1.311050281,Race,Race,No Race,16084,12890,55.87276959,53.84794414,2.024825446,85.04103457,14.95896543,7.504352151,3.78015419,2.785376772,45.41780652,31.23601094,21.72966924,34634,5.306200076,22.23608685,93.60286166,77.02472293,1,1,46.880852899999994,63.20466537
Florida,Duval,12031,211672,48.91944672,205704,47.54018419,15319,3.540369082,211615,51.38182048,196737,47.76932266,3496,0.84885686,Race,Race,No Race,900890,658915,65.66780237,62.50396485,3.163837521,54.71766808,45.28233192,29.01564009,8.632685455,9.721719633,51.55834786,41.00234213,12.72175293,49196,8.607117739,11.09163746,71.91066205,2.911498005,1,1,3.6124978200000015,1.3792625300000054
Florida,Escambia,12033,88808,58.24659439,57461,37.68700523,6200,4.066400383,88711,59.7372426,58185,39.18129049,1606,1.081466916,Race,Race,No Race,309574,238370,63.96316651,62.29894702,1.664219491,65.21962439,34.78037561,21.53281606,5.389987531,4.747491714,50.29944375,41.36458488,15.77458055,46117,8.297930226,10.0537233,75.11698603,8.302225328,1,1,20.55595211,20.55958916
Florida,Flagler,12035,33850,58.86649392,22026,38.30408848,1627,2.829417596,26969,53.30368613,23207,45.86816879,419,0.828145074,Race,Race,No Race,102917,81040,70.95631787,62.43213228,8.524185587,74.99732794,25.00267206,10.40644403,9.793328605,11.77162179,51.9904389,29.04476423,28.30047514,48898,7.630207696,8.925085644,76.67765497,10.32122555,1,1,7.435517340000004,20.562405440000006
Florida,Franklin,12037,4125,68.57855362,1744,28.99418121,146,2.42726517,3570,65.2173913,1845,33.70478626,59,1.077822433,Race,Race,No Race,11705,9555,62.95133438,57.28937729,5.661957091,78.32550192,21.67449808,14.06236651,5.117471166,3.237932507,42.97308842,31.41392567,19.93165314,40301,9.233044581,20.3976765,83.2663092,68.04052299,1,1,31.512605040000004,39.58437240999999
